29,"Доставка с услугой ""Подъем"". По приезду на адрес водитель:",не дожидаясь грузчика начинает выгрузку ТМЦ с кузова,"не звонит клиенту пока не подошёл грузчик, за исключением ситуации, когда интервал доставки заканчивается",звонит клиенту и вместе с клиентом ждёт грузчика,"звонит клиенту и вместе с клиентом начинают выгрузку ТМЦ, не дожидаясь грузчика","не звонит клиенту пока не подошёл грузчик, за исключением ситуации, когда интервал доставки заканчивается"
31,"Если заказана услуга ""Подъем"" водитель отдаёт товарный чек:","клиенту для подписи, клиент подписывает товарный чек после подъёма","грузчику, клиент подписывает товарный чек после подъема","клиенту для подписи, клиент подписывает товарный чек до подъёма","товарный чек можно не подписывать, достаточно подписи в листе расчёта подъёма","грузчику, клиент подписывает товарный чек после подъема"
34,"Если заказ оплачен, и есть услуга подъем, действия водителя:","попросить клиента спустится к машине для проверки, после чего будет осуществлена услуга подъем","клиент не спускается к машине, осуществляет приемку товара и подписывает документы после оказания услуги подъем.","подняться к клиенту, подписать документы, после чего будет осуществлена услуга подъем",,"клиент не спускается к машине, осуществляет приемку товара и подписывает документы после оказания услуги подъем."
35,"В какое время необходимо прибыть на адрес при доставке ""в течение дня""?",не позднее 30 минут до окончания интервала,не позднее 15 минут до окончания интервала,не позднее 5 минут до окончания интервала,,не позднее 30 минут до окончания интервала
36,В какое время необходимо прибыть на адрес при «стандартной» доставке (четырёхчасовой интервал)?,не позднее 30 минут до окончания интервала,не позднее 15 минут до окончания интервала,не позднее 5 минут до окончания интервала,,не позднее 15 минут до окончания интервала
37,"В какое время необходимо прибыть на адрес при доставке ""точно ко времени""?",не позднее 30 минут до окончания интервала,не позднее 15 минут до окончания интервала,не позднее 5 минут до времени доставки,,не позднее 5 минут до времени доставки
42,Что нужно уточнить у клиента при первом звонке?,"ожидает ли клиент доставку, адрес доставки, особенности подъезда ТС к месту выгрузки, интервал доставки, наличие на объекте печати/доверенности","ожидает ли клиент доставку, адрес доставки, особенности подъезда ТС к месту выгрузки, интервал доставки, условия разгрузки/подъема, сумму заказа и форму оплаты, наличие на объекте печати/доверенности","ожидает ли клиент доставку, адрес доставки, интервал доставки, в какое время клиент будет на адресе, наличие на объекте печати/доверенности",достаточно узнать ждёт ли клиент доставку и уточнить адрес,"ожидает ли клиент доставку, адрес доставки, особенности подъезда ТС к месту выгрузки, интервал доставки, условия разгрузки/подъема, сумму заказа и форму оплаты, наличие на объекте печати/доверенности"
43,"Нужно ли звонить перед погрузкой в случае, если в комментариях к заказу написано «не звонить перед погрузкой»?","да, нужно, вдруг у клиента что-нибудь изменилось?","нет, не нужно",на усмотрение водителя,"нужно, если в рейсе одна доставка","нет, не нужно"
44,"Действия водителя, если по прибытию на адрес не дозвониться до клиента по всем указанным номерам:","необходимо связаться с клиентом всеми иными доступными способами, в том числе позвоните в домофон. Если связаться с клиентом не удалось, обратитесь к оператору СТЦ для координации дальнейших действий. ","необходимо связаться с клиентом всеми иными доступными способами, в том числе позвоните в домофон. Если связаться с клиентом не удалось ехать дальше по маршруту","необходимо связаться с клиентом всеми иными доступными способами, в том числе позвоните в домофон. Если связаться с клиентом не удалось, подождать 30 минут, затем дальше ехать по маршруту",,"необходимо связаться с клиентом всеми иными доступными способами, в том числе позвоните в домофон. Если связаться с клиентом не удалось, обратитесь к оператору СТЦ для координации дальнейших действий. "
45,"Действия водителя, если покупатель во время телефонного разговора попросил о переносе времени доставки",передать эту информацию логисту СТЦ и далее следовать его инструкции,"поехать дальше по маршруту и вернутся к клиенту, в согласованный с ним период.","поехать дальше по маршруту, не выполняя данную доставку, вернуть товар на СТЦ",передать эту информацию логисту СТЦ и далее следовать его инструкции,передать эту информацию логисту СТЦ и далее следовать его инструкции
46,Порядок действий водителя при опоздании на адрес:,"позвонить клиенту, проинформировать об опоздании, согласовать новое время прибытия, позвонить логистам, предупредить об опоздании","достаточно позвонить логистам СТЦ, предупредить об опоздании","позвонить логисту, предупредить об опоздании, сообщить новое время прибытия, позвонить клиенту, проинформировать о новом времени прибытия",,"позвонить логисту, предупредить об опоздании, сообщить новое время прибытия, позвонить клиенту, проинформировать о новом времени прибытия"
47,Какую очерёдность выбора номера телефона должен соблюдать водитель при звонке клиенту? ,мастер на адресе - доп. телефон – заказчик,заказчик - мастер на адресе - доп. телефон,мастер на адресе - заказчик - доп. телефон,,мастер на адресе - доп. телефон – заказчик
48,"Если у водителя в рейсе одна доставка, водитель:",водитель звонит клиенту по прибытию на адрес,"водитель звонит клиенту перед погрузкой, с сохранением сценария разговора по времени прибытия на адрес (нельзя говорить, что водитель сейчас поедет на погрузку на склад). В раннее утреннее время звонок клиенту совершается после погрузки","водитель звонит клиенту перед погрузкой, с сохранением сценария разговора по времени прибытия на адрес (нельзя говорить, что водитель сейчас поедет на погрузку на склад). В раннее утреннее время звонок клиенту совершается по прибытию на адрес",,"водитель звонит клиенту перед погрузкой, с сохранением сценария разговора по времени прибытия на адрес (нельзя говорить, что водитель сейчас поедет на погрузку на склад). В раннее утреннее время звонок клиенту совершается после погрузки"
49,Водитель звонит клиенту для уточнений условий доставки,"перед заездом на склад, при условии одной доставки в рейсе","после погрузки на складе (после разгрузки на первом, втором, третпосле погрузки на складе (после разгрузки на первом, втором, третьем и т.д. адресе), при условии двух и более доставок в рейсеьем и т.д. ",все варианты верны,,все варианты верны
50,"У клиента доставка точно ко времени к 14-00, водитель прибыл на объект в 13-20. Его действия:",позвонить клиенту с просьбой принять доставку раньше,"ждать до 13-55, далее позвонить клиенту и сообщить о прибытии","ждать, когда спустится клиент к указанному времени",,"ждать до 13-55, далее позвонить клиенту и сообщить о прибытии"
51,"По приезду водителя на адрес не удалось связаться с клиентом, действия водителя:","ожидать на адресе 30 мин., если клиент не выходит на связь, двигаться по маршруту далее",позвонить логисту СТЦ и уточнить дополнительный номер телефона,позвонить оператору СТЦ и уточнить дополнительный номер телефона,,позвонить оператору СТЦ и уточнить дополнительный номер телефона
52,Что необходимо контролировать совместно с клиентом при выгрузке товара на объекте?,"соответствие отгружаемого товара накладной, количество и качество товара",количество и качество товара,соответствие отгружаемого товара накладной и количество товара,,"соответствие отгружаемого товара накладной, количество и качество товара"
53,Кому необходимо позвонить при отсутствии доверенности или печати на адресе?,"позвонить в службу поддержки клиентов по телефону, указанному в товарном чеке","позвонить в колл-центр по телефону, указанному в товарном чеке",позвонить оператору СТЦ,все варианты верны,позвонить оператору СТЦ
54,Где можно получить деньги на выдачу сдачи клиентам?,сдачу необходимо выдавать из собственных денег,в кассе СТЦ,у управляющего СТЦ,у руководителя коммерческого отдела СТЦ,в кассе СТЦ
55,На каких документах необходимо взять подпись клиента при доставке арендованного оборудования,акт приёма-передачи,договор-квитанция,товарный чек,все варианты верны,все варианты верны
56,На адресе у клиента нет наличных денег для оплаты по заказу. Действия водителя:,предложить клиенту снять деньги с карты в ближайшем банкомате,"информировать клиента о возможности оплатить заказ по телефону Колл-Центра, номер которого указан в товарном чеке; при наличии банковского терминала предложить оплатить по нему",предложить клиенту перевести деньги на свою карту,"позвонить в службу поддержки клиентов по телефону, указанному в товарном чеке","информировать клиента о возможности оплатить заказ по телефону Колл-Центра, номер которого указан в товарном чеке; при наличии банковского терминала предложить оплатить по нему"
59,За чей счёт осуществляется компенсация повторной доставки в случае недовоза водителем товара на объект?,за счёт специалистов склада,за счёт водителя,за счёт отдела логистики СТЦ,за счёт клиента,за счёт водителя
60,"При недовозе товара, или пересорте между адресами, водитель должен:",самостоятельно решить с клиентом вопрос,"предложить клиенту позвонить в службу поддержки клиентов по телефону, указанному в товарном чеке","оперативно передать информацию логисту СТЦ, и следовать его указаниям",ни один пункт не подходит,"оперативно передать информацию логисту СТЦ, и следовать его указаниям"
61,В каком случае водитель может уехать домой с выручкой?,при согласовании с оператором СТЦ,верных вариантов нет,при согласовании со старшим кассиром,при согласовании с управляющим СТЦ,верных вариантов нет
63,"В товарном чеке стоит проект «оплата на месте банковской картой». По прибытии на адрес клиент утверждает, что оплатил через телефон. Действия водителя:",отгрузить товар клиенту и отдать полный комплект документов (при этом кассовые чеки по заказу необходимо сдать обратно в кассу),информацию по изменению способа оплаты передать логисту ЦУД и ожидать обратного звонка для подтверждения оплаты и разрешения на отгрузку товара (при этом кассовые чеки по заказу необходимо сдать обратно в кассу),информацию по изменению способа оплаты передать логисту СТЦ и ожидать обратного звонка для подтверждения оплаты и разрешения на отгрузку товара (при этом кассовые чеки по заказу необходимо сдать обратно в кассу),,информацию по изменению способа оплаты передать логисту СТЦ и ожидать обратного звонка для подтверждения оплаты и разрешения на отгрузку товара (при этом кассовые чеки по заказу необходимо сдать обратно в кассу)
65,"Водитель, при доставке ТМЦ, должен взять у клиента подпись на документах:","договор-заявка на доставку, акте выполненных работ, ТТН, товарном чеке","ТТН, товарном чеке, УПД",достаточно только в ТТН,достаточно только в товарном чеке,"ТТН, товарном чеке, УПД"
68,Каковы действия водителя в случае возникновения простоя на адресе?,позвонить логисту СТЦ и сообщить о начале времени простоя,позвонить логисту ЦУД и сообщить о начале времени простоя,"не звонить, ждать пока разгрузят, по возвращении с рейса сообщить в отдел логистики СТЦ","уехать с адреса, сообщив клиенту, что ждать мы не можем",позвонить логисту СТЦ и сообщить о начале времени простоя
69,Действия водителя в случае отказа покупателя спускаться для оплаты заказа:,"позвонить в службу поддержки клиентов по телефону, указанному в товарном чеке ","уехать с адреса, так как клиент не готов оплатить заказ",подняться к покупателю (для водителя региона ЦФО есть ряд условий),"сообщить клиенту о начале простоя, передать информацию в отдел логистики СТЦ",подняться к покупателю (для водителя региона ЦФО есть ряд условий)
70,"Действия водителя, если клиент хочет отдать на возврат товар с предыдущей доставки, а информации по возврату в документах нет:","отказаться принимать товар у клиента, предложить оформить возврат при следующей доставке",отправить информацию в чат телеграмм-канала по взаимодействию при возврате,забрать товар на возврат,позвонить оператору СТЦ и согласовать возврат товара,позвонить оператору СТЦ и согласовать возврат товара
71,"Действия водителя, если клиент просит привезти заказ по адресу, который отличается от указанного в документах:",отказать клиенту и сдать товар на склад,"отвезти товар на нужный адрес, никому не сообщив",сообщить логисту ЦУД о смене адреса доставки,сообщить логисту СТЦ о смене адреса доставки,сообщить логисту ЦУД о смене адреса доставки
72,"Клиент на адресе предоставил доверенность, какие данные необходимо проверить:","печать, паспортные данные принимающего, дату выдачи и дату окончания доверенности, наименование организации","печать, дату выдачи и дату окончания доверенности, наименование организации",проверять доверенность не нужно,,"печать, паспортные данные принимающего, дату выдачи и дату окончания доверенности, наименование организации"
73,"Действия водителя, если клиент желает оплатить наличными, вместо оплаты банковской картой.","отказать клиенту, настаивая на оплату банковской картой","предложить клиенту самостоятельно решить вопрос, позвонив в службу поддержки по телефону, указанному в товарном чеке",принять оплату наличными,"уехать с адреса, если клиент не готов оплатить банковской картой",принять оплату наличными
74,Что должен сделать водитель для передачи клиенту рекламных листовок Петрович-Медиа?,самостоятельно взять их и прикрепить к каждому товарному чеку,уточнить у клиента нужно ли ему привозить листовки,ознакомиться с содержанием листовок и передать информацию клиенту устно,рекламные листовки водитель берет или не берет на своё усмотрение,самостоятельно взять их и прикрепить к каждому товарному чеку
76,"Для уточнения адреса, указанного GPS – координатами, водителю следует:",сразу позвонить клиенту для уточнения адреса,"максимально использовать навигатор, GPS-координаты, карту города/области, Яндекс-карту","позвонить в колл-центр по телефону, указанному в товарном чеке","позвонить в службу поддержки клиентов по телефону, указанному в товарном чеке","максимально использовать навигатор, GPS-координаты, карту города/области, Яндекс-карту"
77,Приветствие. Как нужно обращаться к клиенту?,любым удобным способом,"обращаться по Имени или Имени Отчеству, указанному в комментариях к накладной.","допустимо никак не обращаться, достаточно уточнить ваш ли это клиент",,"обращаться по Имени или Имени Отчеству, указанному в комментариях к накладной."
78,"В заказе есть комментарий: «ПАСПОРТА+СЕРТИФИКАТЫ», действия водителя:","не предпринимать никаких действий, это комментарий менеджеров, к доставке отношения не имеет","подойти к ответственному специалисту отдела логистики, распечатать сертификаты проставить на каждом листе штамп оператора СТЦ, передать клиенту на адресе","проверить, вышли ли на печать документы, при сканировании маршрутного листа (при отсутствии - подойти к ответственному специалисту отдела логистики для печати сертификатов), проставить на каждом листе круглую печать «Петровича», передать клиенту на адресе","подойти к ответственному специалисту отдела логистики, распечатать сертификаты, передать клиенту на адресе","проверить, вышли ли на печать документы, при сканировании маршрутного листа (при отсутствии - подойти к ответственному специалисту отдела логистики для печати сертификатов), проставить на каждом листе круглую печать «Петровича», передать клиенту на адресе"
86,При курьерской доставке:,"водитель доставляет заказ до двери клиента самостоятельно, там же принимает оплату, оформляет документы",клиент спускается к машине для осмотра товара и подписания документов,данный вид доставки компания не осуществляет,,"водитель доставляет заказ до двери клиента самостоятельно, там же принимает оплату, оформляет документы"
87,"Действия водителя, если есть необходимость изменить последовательность посещения точек доставки ",водитель согласовывает вопрос логистом СТЦ,водитель согласовывает вопрос с логистом ЦУД,водитель принимает самостоятельное решение об изменении (если нет риска опоздания),,водитель принимает самостоятельное решение об изменении (если нет риска опоздания)
89,Водитель обязан соблюдать следующие правила поведения в процессе оказания услуги «Доставка»:,говорить только на русском языке и не использовать нецензурную лексику,не использовать жевательную резинку во время общения,"соблюдать Правила внешнего вида, носить униформу и в помещениях СТЦ носить бейдж",все варианты верны,все варианты верны
--,--,--,--,--,--,--