26,"Водитель получил маршрутный лист, в заказе есть услуга «Подъем». В какой момент водитель должен позвонить звеньевому с информацией о подъёме?",сразу по приезду на адрес,перед погрузкой на складе,после погрузки и выезда с территории склада,"звонить необходимости нет, звеньевой свяжется сам",перед погрузкой на складе
27,Когда водитель обязан предупредить диспетчера (при его отсутствии – логиста СТЦ) о самостоятельном выполнении подъема для оформления начислений за услугу:,до закрытия маршрутного листа,до 15 часов следующего дня,в течении 24 часов с момента закрытия маршрутного листа,,до закрытия маршрутного листа
28,"Когда водитель информирует звеньевого о подъёме, если доставка в рейсе 2-м адресом:",информирует перед погрузкой на складе,"звонить необходимости нет, звеньевой свяжется сам",информирует после разгрузки на 1-ом адресе,информирует после выезда со склада,информирует перед погрузкой на складе
29,"Доставка с услугой ""Подъем"". По приезду на адрес водитель:",не дожидаясь грузчика начинает выгрузку ТМЦ с кузова,"не звонит клиенту пока не подошёл грузчик, за исключением ситуации, когда интервал доставки заканчивается",звонит клиенту и вместе с клиентом ждёт грузчика,"звонит клиенту и вместе с клиентом начинают выгрузку ТМЦ, не дожидаясь грузчика","не звонит клиенту пока не подошёл грузчик, за исключением ситуации, когда интервал доставки заканчивается"
30,"Интервал доставки 9:00-13:00, в маршрутном листе указана информация по подъёму, водитель на адресе в 11:45, что должен сделать водитель?","позвонить клиенту, сообщить о своём приезде и ожидать грузчиков","позвонить клиенту, сообщить о своём приезде, далее позвонить звеньевому","позвонить звеньевому, уточнить время прибытия грузчика, и ожидать недалеко от адреса, вне зоны видимости клиента","позвонить звеньевому, уточнить, когда приедет грузчик, далее сообщить время приезда грузчика клиенту","позвонить звеньевому, уточнить время прибытия грузчика, и ожидать недалеко от адреса, вне зоны видимости клиента"
31,"Если заказана услуга ""Подъем"" водитель отдаёт товарный чек:","клиенту для подписи, клиент подписывает товарный чек после подъёма","грузчику, клиент подписывает товарный чек после подъема","клиенту для подписи, клиент подписывает товарный чек до подъёма","товарный чек можно не подписывать, достаточно подписи в листе расчёта подъёма","грузчику, клиент подписывает товарный чек после подъема"
32,"Если в маршрутном листе последняя доставка с нашим подъёмом, когда водитель должен позвонить звеньевому:",после выгрузки предпоследней точки,перед заездом на склад,после погрузки на складе,"звонить необходимости нет, звеньевой свяжется сам",перед заездом на склад
33,"Действия водителя, при желании осуществить подъем самостоятельно:",согласовать подъем со звеньевым или диспетчером до оказания услуги,"осуществить подъем без согласования, после закрытия маршрутного листа проинформировать звеньевого","осуществить подъем без согласования, до закрытия маршрутного листа проинформировать логиста СТЦ",,согласовать подъем со звеньевым или диспетчером до оказания услуги
34,"Если заказ оплачен, и есть услуга подъем, действия водителя:","попросить клиента спустится к машине для проверки, после чего будет осуществлена услуга подъем","клиент не спускается к машине, осуществляет приемку товара и подписывает документы после оказания услуги подъем.","подняться к клиенту, подписать документы, после чего будет осуществлена услуга подъем",,"клиент не спускается к машине, осуществляет приемку товара и подписывает документы после оказания услуги подъем."
35,"В какое время необходимо прибыть на адрес при доставке ""в течение дня""?",не позднее 30 минут до окончания интервала,не позднее 15 минут до окончания интервала,не позднее 5 минут до окончания интервала,,не позднее 30 минут до окончания интервала
42,Что нужно уточнить у клиента при первом звонке?,"ожидает ли клиент доставку, адрес доставки, особенности подъезда ТС к месту выгрузки, интервал доставки, наличие на объекте печати/доверенности","ожидает ли клиент доставку, адрес доставки, особенности подъезда ТС к месту выгрузки, интервал доставки, условия разгрузки/подъема, сумму заказа и форму оплаты, наличие на объекте печати/доверенности","ожидает ли клиент доставку, адрес доставки, интервал доставки, в какое время клиент будет на адресе, наличие на объекте печати/доверенности",достаточно узнать ждёт ли клиент доставку и уточнить адрес,"ожидает ли клиент доставку, адрес доставки, особенности подъезда ТС к месту выгрузки, интервал доставки, условия разгрузки/подъема, сумму заказа и форму оплаты, наличие на объекте печати/доверенности"
--,--,--,--,--,--,--