7,Может ли водитель выходить на линию на технически неисправном автомобиле? ,"да, выйти нужно обязательно, так как выход на линию запланирован ранее","нет, водитель предупреждает о невыходе логиста СТЦ и в кратчайшие сроки приводит своё транспортное средство в рабочее состояние"," нет, водитель может без предупреждения о невыходе ехать ремонтировать машину",," нет, водитель может без предупреждения о невыходе ехать ремонтировать машину"
8,Водитель может осуществлять ремонт ТС на территории СТЦ:,по согласованию с начальником склада,по согласованию с управляющим СТЦ,ремонт на территории СТЦ категорически запрещён,,ремонт на территории СТЦ категорически запрещён
9,Может ли водитель производить уборку кузова во время погрузки на складе,"да, если не мешает специалистам склада и другим ТС ","нет, уборка проводится до въезда на склад","да, после согласования с начальником склада",,"нет, уборка проводится до въезда на склад"
11,Где ношение сигнального жилета с логотипом ООО «СТД «Петрович» является обязательным?,только в отделе логистики СТЦ,"на всей территории СТЦ (включая внутренние помещения и парковку), а также на адресе клиента при осуществлении доставки","в отделе логистики СТЦ, а также на адресе клиента при осуществлении доставки","в отделе логистики СТЦ, а также на складе для соблюдения техники безопасности","на всей территории СТЦ (включая внутренние помещения и парковку), а также на адресе клиента при осуществлении доставки"
13,"Кто отвечает за сохранность, качество и количество перевозимого груза?",специалисты склада,специалисты отдела логистики СТЦ,водитель,все варианты верны,водитель
14,Может ли водитель оставлять ТС на территории СТЦ в свои выходные и отпуск?,нет,"да, по согласованию с логистом СТЦ","да, по согласованию с начальником склада",,нет
15,"При оставлении на складе машины вне поля зрения, водитель обязан:",оставить ключи в замке зажигания,оставить записку со своим номером телефона,вытащить ключи из замка зажигания,поставить в известность начальника склада,вытащить ключи из замка зажигания
16,ТС с какими повреждениями не допускаются на линию?,"коррозия капота, бортов, дверей, технические повреждения",неисправная светосигнализация,трещины на ветровых стёклах,все варианты верны,все варианты верны
18,"При погрузке ТМЦ, на каком расстоянии от маневрирующего погрузчика/штабелёра/автомобиля должен находиться водитель",не менее 1 метра,не менее 3 метров,не менее 5 метров,расстояние не регламентировано,не менее 5 метров
19,Выход на линию водителя начинается с 09:00. Водитель приехал и встал в очередь в 09:31. Сколько минут составило опоздание?,1 минуту,31 минуту,61 минуту,"опоздания нет, задержка до 1 минуты опозданием не считается",31 минуту
20,Когда водитель должен находиться на телефонной связи?,за час до начала и в течение часа после окончания выхода на линию,в течение всего времени оказания услуги доставка,оба варианта верны,,оба варианта верны
21,Когда водитель должен предупреждать о невыходе на линию?,не менее чем за сутки,в день невыхода,при следующем выходе на линию,о невыходе на линию можно не предупреждать,не менее чем за сутки
24,В каком случае ношение бейджа водителем является обязательным?,при нахождении в служебных помещениях СТЦ,только при погрузке на складе,при прибытии на объект к клиенту,все варианты верны,при нахождении в служебных помещениях СТЦ
25,Выход на линию водителя запланирован на 8:00. Что считается опозданием?,постановка в электронную очередь в 8:01,предупреждение о задержке в 07.55,задержка выхода на линию из-за пробок на дороге,все варианты верны,все варианты верны
26,"Водитель получил маршрутный лист, в заказе есть услуга «Подъем». В какой момент водитель должен позвонить звеньевому с информацией о подъёме?",сразу по приезду на адрес,перед погрузкой на складе,после погрузки и выезда с территории склада,"звонить необходимости нет, звеньевой свяжется сам",перед погрузкой на складе
27,Когда водитель обязан предупредить диспетчера (при его отсутствии – логиста СТЦ) о самостоятельном выполнении подъема для оформления начислений за услугу:,до закрытия маршрутного листа,до 15 часов следующего дня,в течении 24 часов с момента закрытия маршрутного листа,,до закрытия маршрутного листа
28,"Когда водитель информирует звеньевого о подъёме, если доставка в рейсе 2-м адресом:",информирует перед погрузкой на складе,"звонить необходимости нет, звеньевой свяжется сам",информирует после разгрузки на 1-ом адресе,информирует после выезда со склада,информирует перед погрузкой на складе
29,"Доставка с услугой ""Подъем"". По приезду на адрес водитель:",не дожидаясь грузчика начинает выгрузку ТМЦ с кузова,"не звонит клиенту пока не подошёл грузчик, за исключением ситуации, когда интервал доставки заканчивается",звонит клиенту и вместе с клиентом ждёт грузчика,"звонит клиенту и вместе с клиентом начинают выгрузку ТМЦ, не дожидаясь грузчика","не звонит клиенту пока не подошёл грузчик, за исключением ситуации, когда интервал доставки заканчивается"
30,"Интервал доставки 9:00-13:00, в маршрутном листе указана информация по подъёму, водитель на адресе в 11:45, что должен сделать водитель?","позвонить клиенту, сообщить о своём приезде и ожидать грузчиков","позвонить клиенту, сообщить о своём приезде, далее позвонить звеньевому","позвонить звеньевому, уточнить время прибытия грузчика, и ожидать недалеко от адреса, вне зоны видимости клиента","позвонить звеньевому, уточнить, когда приедет грузчик, далее сообщить время приезда грузчика клиенту","позвонить звеньевому, уточнить время прибытия грузчика, и ожидать недалеко от адреса, вне зоны видимости клиента"
31,"Если заказана услуга ""Подъем"" водитель отдаёт товарный чек:","клиенту для подписи, клиент подписывает товарный чек после подъёма","грузчику, клиент подписывает товарный чек после подъема","клиенту для подписи, клиент подписывает товарный чек до подъёма","товарный чек можно не подписывать, достаточно подписи в листе расчёта подъёма","грузчику, клиент подписывает товарный чек после подъема"
32,"Если в маршрутном листе последняя доставка с нашим подъёмом, когда водитель должен позвонить звеньевому:",после выгрузки предпоследней точки,перед заездом на склад,после погрузки на складе,"звонить необходимости нет, звеньевой свяжется сам",перед заездом на склад
33,"Действия водителя, при желании осуществить подъем самостоятельно:",согласовать подъем со звеньевым или диспетчером до оказания услуги,"осуществить подъем без согласования, после закрытия маршрутного листа проинформировать звеньевого","осуществить подъем без согласования, до закрытия маршрутного листа проинформировать логиста СТЦ",,согласовать подъем со звеньевым или диспетчером до оказания услуги
34,"Если заказ оплачен, и есть услуга подъем, действия водителя:","попросить клиента спустится к машине для проверки, после чего будет осуществлена услуга подъем","клиент не спускается к машине, осуществляет приемку товара и подписывает документы после оказания услуги подъем.","подняться к клиенту, подписать документы, после чего будет осуществлена услуга подъем",,"клиент не спускается к машине, осуществляет приемку товара и подписывает документы после оказания услуги подъем."
35,"В какое время необходимо прибыть на адрес при доставке ""в течение дня""?",не позднее 30 минут до окончания интервала,не позднее 15 минут до окончания интервала,не позднее 5 минут до окончания интервала,,не позднее 30 минут до окончания интервала
36,В какое время необходимо прибыть на адрес при «стандартной» доставке (четырёхчасовой интервал)?,не позднее 30 минут до окончания интервала,не позднее 15 минут до окончания интервала,не позднее 5 минут до окончания интервала,,не позднее 15 минут до окончания интервала
37,"В какое время необходимо прибыть на адрес при доставке ""точно ко времени""?",не позднее 30 минут до окончания интервала,не позднее 15 минут до окончания интервала,не позднее 5 минут до времени доставки,,не позднее 5 минут до времени доставки
38,Каков норматив времени по загрузке на складе?,60 минут,40 минут,20 минут,время загрузки не регламентируется,40 минут
39,"Водитель приехал на СТЦ, встал в очередь, получил СМС о готовности рейса. Сколько у водителя времени от момента поступления СМС и до въезда на погрузку?",не более 20 минут,не более 30 минут,время никак не фиксируется,не более 40 минут,не более 30 минут
40,В течение какого времени от момента поступления СМС о рейсе водитель должен распечатать маршрутный лист?,в течение 20 минут,в течение 30 минут,в течение 10 минут,время распечатки не регламентируется,в течение 10 минут
41,"При превышении времени погрузки на складе, водителю необходимо:","позвонить логисту ЦУД, сообщить о задержке","сообщить логисту СТЦ причины задержки, номер склада","сообщить начальнику смены причины задержки, номер склада","продолжить погрузку, не обращая внимание на время",Ответ3
42,Что нужно уточнить у клиента при первом звонке?,"ожидает ли клиент доставку, адрес доставки, особенности подъезда ТС к месту выгрузки, интервал доставки, наличие на объекте печати/доверенности","ожидает ли клиент доставку, адрес доставки, особенности подъезда ТС к месту выгрузки, интервал доставки, условия разгрузки/подъема, сумму заказа и форму оплаты, наличие на объекте печати/доверенности","ожидает ли клиент доставку, адрес доставки, интервал доставки, в какое время клиент будет на адресе, наличие на объекте печати/доверенности",достаточно узнать ждёт ли клиент доставку и уточнить адрес,"ожидает ли клиент доставку, адрес доставки, особенности подъезда ТС к месту выгрузки, интервал доставки, условия разгрузки/подъема, сумму заказа и форму оплаты, наличие на объекте печати/доверенности"
43,"Нужно ли звонить перед погрузкой в случае, если в комментариях к заказу написано «не звонить перед погрузкой»?","да, нужно, вдруг у клиента что-нибудь изменилось?","нет, не нужно",на усмотрение водителя,"нужно, если в рейсе одна доставка","нет, не нужно"
44,"Действия водителя, если по прибытию на адрес не дозвониться до клиента по всем указанным номерам:","необходимо связаться с клиентом всеми иными доступными способами, в том числе позвоните в домофон. Если связаться с клиентом не удалось, обратитесь к оператору СТЦ для координации дальнейших действий. ","необходимо связаться с клиентом всеми иными доступными способами, в том числе позвоните в домофон. Если связаться с клиентом не удалось ехать дальше по маршруту","необходимо связаться с клиентом всеми иными доступными способами, в том числе позвоните в домофон. Если связаться с клиентом не удалось, подождать 30 минут, затем дальше ехать по маршруту",,"необходимо связаться с клиентом всеми иными доступными способами, в том числе позвоните в домофон. Если связаться с клиентом не удалось, обратитесь к оператору СТЦ для координации дальнейших действий. "
45,"Действия водителя, если покупатель во время телефонного разговора попросил о переносе времени доставки",передать эту информацию логисту СТЦ и далее следовать его инструкции,"поехать дальше по маршруту и вернутся к клиенту, в согласованный с ним период.","поехать дальше по маршруту, не выполняя данную доставку, вернуть товар на СТЦ",передать эту информацию логисту СТЦ и далее следовать его инструкции,передать эту информацию логисту СТЦ и далее следовать его инструкции
46,Порядок действий водителя при опоздании на адрес:,"позвонить клиенту, проинформировать об опоздании, согласовать новое время прибытия, позвонить логистам, предупредить об опоздании","достаточно позвонить логистам СТЦ, предупредить об опоздании","позвонить логисту, предупредить об опоздании, сообщить новое время прибытия, позвонить клиенту, проинформировать о новом времени прибытия",,"позвонить логисту, предупредить об опоздании, сообщить новое время прибытия, позвонить клиенту, проинформировать о новом времени прибытия"
47,Какую очерёдность выбора номера телефона должен соблюдать водитель при звонке клиенту? ,мастер на адресе - доп. телефон – заказчик,заказчик - мастер на адресе - доп. телефон,мастер на адресе - заказчик - доп. телефон,,мастер на адресе - доп. телефон – заказчик
48,"Если у водителя в рейсе одна доставка, водитель:",водитель звонит клиенту по прибытию на адрес,"водитель звонит клиенту перед погрузкой, с сохранением сценария разговора по времени прибытия на адрес (нельзя говорить, что водитель сейчас поедет на погрузку на склад). В раннее утреннее время звонок клиенту совершается после погрузки","водитель звонит клиенту перед погрузкой, с сохранением сценария разговора по времени прибытия на адрес (нельзя говорить, что водитель сейчас поедет на погрузку на склад). В раннее утреннее время звонок клиенту совершается по прибытию на адрес",,"водитель звонит клиенту перед погрузкой, с сохранением сценария разговора по времени прибытия на адрес (нельзя говорить, что водитель сейчас поедет на погрузку на склад). В раннее утреннее время звонок клиенту совершается после погрузки"
49,Водитель звонит клиенту для уточнений условий доставки,"перед заездом на склад, при условии одной доставки в рейсе","после погрузки на складе (после разгрузки на первом, втором, третпосле погрузки на складе (после разгрузки на первом, втором, третьем и т.д. адресе), при условии двух и более доставок в рейсеьем и т.д. ",все варианты верны,,все варианты верны
50,"У клиента доставка точно ко времени к 14-00, водитель прибыл на объект в 13-20. Его действия:",позвонить клиенту с просьбой принять доставку раньше,"ждать до 13-55, далее позвонить клиенту и сообщить о прибытии","ждать, когда спустится клиент к указанному времени",,"ждать до 13-55, далее позвонить клиенту и сообщить о прибытии"
51,"По приезду водителя на адрес не удалось связаться с клиентом, действия водителя:","ожидать на адресе 30 мин., если клиент не выходит на связь, двигаться по маршруту далее",позвонить логисту СТЦ и уточнить дополнительный номер телефона,позвонить оператору СТЦ и уточнить дополнительный номер телефона,,позвонить оператору СТЦ и уточнить дополнительный номер телефона
52,Что необходимо контролировать совместно с клиентом при выгрузке товара на объекте?,"соответствие отгружаемого товара накладной, количество и качество товара",количество и качество товара,соответствие отгружаемого товара накладной и количество товара,,"соответствие отгружаемого товара накладной, количество и качество товара"
53,Кому необходимо позвонить при отсутствии доверенности или печати на адресе?,"позвонить в службу поддержки клиентов по телефону, указанному в товарном чеке","позвонить в колл-центр по телефону, указанному в товарном чеке",позвонить оператору СТЦ,все варианты верны,позвонить оператору СТЦ
54,Где можно получить деньги на выдачу сдачи клиентам?,сдачу необходимо выдавать из собственных денег,в кассе СТЦ,у управляющего СТЦ,у руководителя коммерческого отдела СТЦ,в кассе СТЦ
56,На адресе у клиента нет наличных денег для оплаты по заказу. Действия водителя:,предложить клиенту снять деньги с карты в ближайшем банкомате,"информировать клиента о возможности оплатить заказ по телефону Колл-Центра, номер которого указан в товарном чеке; при наличии банковского терминала предложить оплатить по нему",предложить клиенту перевести деньги на свою карту,"позвонить в службу поддержки клиентов по телефону, указанному в товарном чеке","информировать клиента о возможности оплатить заказ по телефону Колл-Центра, номер которого указан в товарном чеке; при наличии банковского терминала предложить оплатить по нему"
57,Когда сдаётся комплект документов ответственному лицу при доставке или возврате арендованного оборудования?,не позднее 15 часов следующего дня,обязательно в день выдачи Арендованного Оборудования,в течение трёх рабочих дней после выдачи Арендованного Оборудования,не позднее 18.00 дня выдачи Арендованного Оборудования,не позднее 15 часов следующего дня
58,Выберите правильный вариант ответа:,"если водитель не успевает вернуться с доставки до закрытия кассы, мобильный терминал сдаётся на СТЦ отгрузки на следующий день до выхода на линию","если водитель уехал в рейс до открытия кассы, мобильный терминал сдаётся сразу после выполнения рейса","если на следующий день у водителя выходной, то водитель возвращается с рейса на СТЦ для сдачи мобильного терминала",все варианты верны ,все варианты верны 
59,За чей счёт осуществляется компенсация повторной доставки в случае недовоза водителем товара на объект?,за счёт специалистов склада,за счёт водителя,за счёт отдела логистики СТЦ,за счёт клиента,за счёт водителя
60,"При недовозе товара, или пересорте между адресами, водитель должен:",самостоятельно решить с клиентом вопрос,"предложить клиенту позвонить в службу поддержки клиентов по телефону, указанному в товарном чеке","оперативно передать информацию логисту СТЦ, и следовать его указаниям",ни один пункт не подходит,"оперативно передать информацию логисту СТЦ, и следовать его указаниям"
61,В каком случае водитель может уехать домой с выручкой?,при согласовании с оператором СТЦ,верных вариантов нет,при согласовании со старшим кассиром,при согласовании с управляющим СТЦ,верных вариантов нет
62,Что обязан контролировать водитель при возврате товара?,"товарный вид (не битое, не мокрое, не грязное)",срок годности,количество возвращаемого товара,все варианты верны,все варианты верны
63,"В товарном чеке стоит проект «оплата на месте банковской картой». По прибытии на адрес клиент утверждает, что оплатил через телефон. Действия водителя:",отгрузить товар клиенту и отдать полный комплект документов (при этом кассовые чеки по заказу необходимо сдать обратно в кассу),информацию по изменению способа оплаты передать логисту ЦУД и ожидать обратного звонка для подтверждения оплаты и разрешения на отгрузку товара (при этом кассовые чеки по заказу необходимо сдать обратно в кассу),информацию по изменению способа оплаты передать логисту СТЦ и ожидать обратного звонка для подтверждения оплаты и разрешения на отгрузку товара (при этом кассовые чеки по заказу необходимо сдать обратно в кассу),,информацию по изменению способа оплаты передать логисту СТЦ и ожидать обратного звонка для подтверждения оплаты и разрешения на отгрузку товара (при этом кассовые чеки по заказу необходимо сдать обратно в кассу)
64,Что должен сделать водитель при наличии доп. накладных к заказу?,"ознакомится с контактными данными лиц по каждой накладной (по одному адресу может быть несколько принимающих лиц, звонить необходимо каждому)","ознакомится с контактными данными лиц только по основному заказу (вне зависимости от количества принимающих лиц, заказчик один, звонить только ему)",,,"ознакомится с контактными данными лиц по каждой накладной (по одному адресу может быть несколько принимающих лиц, звонить необходимо каждому)"
65,"Водитель, при доставке ТМЦ, должен взять у клиента подпись на документах:","договор-заявка на доставку, акте выполненных работ, ТТН, товарном чеке","ТТН, товарном чеке, УПД",достаточно только в ТТН,достаточно только в товарном чеке,"ТТН, товарном чеке, УПД"
66,Водитель обязан сдать деньги в кассу:,в любое удобное время текущего дня,сразу после выполнения рейса,деньги можно сдать без согласования на следующий день или после выходных,,сразу после выполнения рейса
67,"Действия водителя в случае обнаружения на адресе недостачи, пересорта при порче товара","водитель обещает клиенту, что заменит товар самостоятельно, сообщать кому-либо необходимости нет","водитель предлагает клиенту позвонить в колл-центр по телефону, указанному в товарном чеке","водитель предлагает клиенту позвонить в службу поддержки клиентов по телефону, указанному в товарном чеке",верных вариантов нет,верных вариантов нет
68,Каковы действия водителя в случае возникновения простоя на адресе?,позвонить логисту СТЦ и сообщить о начале времени простоя,позвонить логисту ЦУД и сообщить о начале времени простоя,"не звонить, ждать пока разгрузят, по возвращении с рейса сообщить в отдел логистики СТЦ","уехать с адреса, сообщив клиенту, что ждать мы не можем",позвонить логисту СТЦ и сообщить о начале времени простоя
69,Действия водителя в случае отказа покупателя спускаться для оплаты заказа:,"позвонить в службу поддержки клиентов по телефону, указанному в товарном чеке ","уехать с адреса, так как клиент не готов оплатить заказ",подняться к покупателю (для водителя региона ЦФО есть ряд условий),"сообщить клиенту о начале простоя, передать информацию в отдел логистики СТЦ",подняться к покупателю (для водителя региона ЦФО есть ряд условий)
70,"Действия водителя, если клиент хочет отдать на возврат товар с предыдущей доставки, а информации по возврату в документах нет:","отказаться принимать товар у клиента, предложить оформить возврат при следующей доставке",отправить информацию в чат телеграмм-канала по взаимодействию при возврате,забрать товар на возврат,позвонить оператору СТЦ и согласовать возврат товара,позвонить оператору СТЦ и согласовать возврат товара
71,"Действия водителя, если клиент просит привезти заказ по адресу, который отличается от указанного в документах:",отказать клиенту и сдать товар на склад,"отвезти товар на нужный адрес, никому не сообщив",сообщить логисту ЦУД о смене адреса доставки,сообщить логисту СТЦ о смене адреса доставки,сообщить логисту ЦУД о смене адреса доставки
73,"Действия водителя, если клиент желает оплатить наличными, вместо оплаты банковской картой.","отказать клиенту, настаивая на оплату банковской картой","предложить клиенту самостоятельно решить вопрос, позвонив в службу поддержки по телефону, указанному в товарном чеке",принять оплату наличными,"уехать с адреса, если клиент не готов оплатить банковской картой",принять оплату наличными
74,Что должен сделать водитель для передачи клиенту рекламных листовок Петрович-Медиа?,самостоятельно взять их и прикрепить к каждому товарному чеку,уточнить у клиента нужно ли ему привозить листовки,ознакомиться с содержанием листовок и передать информацию клиенту устно,рекламные листовки водитель берет или не берет на своё усмотрение,самостоятельно взять их и прикрепить к каждому товарному чеку
75,Когда должен быть включён мониторинг приложения «Вам везёт Петрович» у водителя?,в течение всего времени оказания услуги доставка,только во время движения транспортного средства к точке выгрузки,только при осуществлении постановки в электронную очередь,при задержках по рейсу,в течение всего времени оказания услуги доставка
76,"Для уточнения адреса, указанного GPS – координатами, водителю следует:",сразу позвонить клиенту для уточнения адреса,"максимально использовать навигатор, GPS-координаты, карту города/области, Яндекс-карту","позвонить в колл-центр по телефону, указанному в товарном чеке","позвонить в службу поддержки клиентов по телефону, указанному в товарном чеке","максимально использовать навигатор, GPS-координаты, карту города/области, Яндекс-карту"
77,Приветствие. Как нужно обращаться к клиенту?,любым удобным способом,"обращаться по Имени или Имени Отчеству, указанному в комментариях к накладной.","допустимо никак не обращаться, достаточно уточнить ваш ли это клиент",,"обращаться по Имени или Имени Отчеству, указанному в комментариях к накладной."
78,"В заказе есть комментарий: «ПАСПОРТА+СЕРТИФИКАТЫ», действия водителя:","не предпринимать никаких действий, это комментарий менеджеров, к доставке отношения не имеет","подойти к ответственному специалисту отдела логистики, распечатать сертификаты проставить на каждом листе штамп оператора СТЦ, передать клиенту на адресе","проверить, вышли ли на печать документы, при сканировании маршрутного листа (при отсутствии - подойти к ответственному специалисту отдела логистики для печати сертификатов), проставить на каждом листе круглую печать «Петровича», передать клиенту на адресе","подойти к ответственному специалисту отдела логистики, распечатать сертификаты, передать клиенту на адресе","проверить, вышли ли на печать документы, при сканировании маршрутного листа (при отсутствии - подойти к ответственному специалисту отдела логистики для печати сертификатов), проставить на каждом листе круглую печать «Петровича», передать клиенту на адресе"
79,"В комментарии к заказу есть информация: «обмен по обращению №…» или «довоз по обращению №…», действия водителя:",уточнить информацию у оператора СТЦ,"не обращать внимание, идти на погрузку",позвонить логисту ЦУД и уточнить информацию,позвонить и уточнить информацию у клиента,позвонить логисту ЦУД и уточнить информацию
80,"В комментарии к заказу указано: «Арка 2,5 м», действия водителя:","идти на погрузку; на адресе, в случае невозможности проехать, позвонить логисту ЦУД","если ТС превышает габариты арки, необходимо подойти к логисту СТЦ; если нет, идти на погрузку","если ТС превышает габариты арки, необходимо позвонить логисту ЦУД; если нет, идти на погрузку",,"если ТС превышает габариты арки, необходимо позвонить логисту ЦУД; если нет, идти на погрузку"
81,"Действия водителя, если в маршрутном листе, в комментарии к адресу указано: «Распечатать закрывающие документы по РТИУ №…»",обратиться к кассиру СТЦ,обратиться к оператору СТЦ,обратиться к логисту СТЦ,"не обращать внимание, это комментарий для менеджера",обратиться к оператору СТЦ
82,"Дополнительная информация, указанная в товарном чеке, как например: «ПАСПОРТ РФ», «ПАСПОРТ РФ ПРИ СЕБЕ»","является обязательной к выполнению, в случае вопросов, водитель обращается к логисту ЦУД","в рабочее время, паспорт у водителя всегда должен быть при себе","при отсутствии паспорта, либо наличия паспорта НЕ РФ, необходимо позвонить логисту ЦУД перед распечаткой складских документов",все варианты верны,все варианты верны
83,"У водителя в машине возврат ТМЦ от клиента, завтра выход на линию с 10-00. Когда необходимо сдать товар на склад:","утром, перед началом рабочего дня",сразу после окончания рейса,в любое удобное время,,сразу после окончания рейса
84,"Действия водителя, в случае возникновения вопросов по качеству возвращаемого товара:","забрать товар от клиента в любом виде, предупредить, что возможен отказ склада в возврате","отправить информацию в чат телеграмм-канала по взаимодействию при возврате, действовать исходя из решения ответственных специалистов со стороны склада","предложить клиенту позвонить в службу поддержки клиентов по телефону, указанному в товарном чеке",не забирать товар и уехать с адреса,"отправить информацию в чат телеграмм-канала по взаимодействию при возврате, действовать исходя из решения ответственных специалистов со стороны склада"
85,"85	Водитель привёз на возврат товар от клиента, специалист склада не принимает по причине брака, действия водителя:","позвонить клиенту, сообщить о браке",сообщить логисту СТЦ и совместно разобрать ситуацию,"оформить на возврат то, что принял склад, остальное утилизировать",,сообщить логисту СТЦ и совместно разобрать ситуацию
86,При курьерской доставке:,"водитель доставляет заказ до двери клиента самостоятельно, там же принимает оплату, оформляет документы",клиент спускается к машине для осмотра товара и подписания документов,данный вид доставки компания не осуществляет,,"водитель доставляет заказ до двери клиента самостоятельно, там же принимает оплату, оформляет документы"
87,"Действия водителя, если есть необходимость изменить последовательность посещения точек доставки ",водитель согласовывает вопрос логистом СТЦ,водитель согласовывает вопрос с логистом ЦУД,водитель принимает самостоятельное решение об изменении (если нет риска опоздания),,водитель принимает самостоятельное решение об изменении (если нет риска опоздания)
88,"Свыше какой суммы в товарном чеке с проектом «оплата на месте» водитель должен обратиться к сотруднику Службы Экономической Безопасности, если контрагент «Покупатель с сайта, покупатель (СТЦ)»:",более 250 000 (двести пятьдесят тысяч рублей) для покупателя держателя карты клуба друзей ,более 100 000 (сто тысяч рублей) для покупателя без карты клуба друзей ,оба варианта верны,,оба варианта верны
89,Водитель обязан соблюдать следующие правила поведения в процессе оказания услуги «Доставка»:,говорить только на русском языке и не использовать нецензурную лексику,не использовать жевательную резинку во время общения,"соблюдать Правила внешнего вида, носить униформу и в помещениях СТЦ носить бейдж",все варианты верны,все варианты верны
91,"Водитель, процессе оказания услуги «Доставка», несёт ответственность:","за недостачу ТМЦ в рейсе, если водитель не заехал на склад","за пересортицу/недостачу, возникшую при разгрузке между адресами","за порчу товара при транспортировке (товар не закреплен, погрузка не совместимых товаров, отсутствие тента, не качественное укрытие ТМЦ от осадков и др.) ",все варианты верны,все варианты верны
92,"На складе, при проверке ТМЦ по качеству, водитель:","должен произвести внешний осмотр упаковки на отсутствие повреждений, если ТМЦ в заводских упаковках","проверяет внешнее состояние упаковки, если ТМЦ предварительно собрано в паллеты, коробки, пакеты","осуществляет контроль качества, способом внешнего осмотра ТМЦ, без его перекладки и переборки",все варианты верны,все варианты верны
94,"Действия водителя, если клиент хочет отдать на возврат товар с предыдущей доставки, а информации по возврату в документах нет:",отказаться принимать товар у клиента,позвонить логисту СТЦ и согласовать возврат товара,забрать товар на возврат без звонка на СТЦ,позвонить оператору СТЦ и согласовать возврат товара,позвонить оператору СТЦ и согласовать возврат товара
95,Завершение времени работы на линии подтверждается программой автоматически:,"при наступлении времени завершения оказания услуг, если водитель не в рейсе",через 30 минут после планового времени окончания рейса,верны оба варианта,,верны оба варианта
--,--,--,--,--,--,--